Date,InstrumentID,PrixOuverture,PrixHaut,PrixBas,PrixCloture,Volume,Devise
2022-01-03,INST001,180.6863,181.2461,178.0952,179.009,1854929.0,EUR
2022-01-04,INST001,175.7215,181.533,175.2693,177.3287,3083680.0,EUR
2022-01-05,INST001,174.396,174.6179,170.3912,173.2673,3157727.0,EUR
2022-01-06,INST001,177.0407,181.8204,176.5144,176.6407,1883353.0,EUR
2022-01-07,INST001,175.3728,177.7508,174.4971,174.9149,2510704.0,EUR
2022-01-10,INST001,177.2667,179.358,171.0238,176.3075,4253255.0,EUR
2022-01-11,INST001,175.6644,174.9673,171.3932,174.0947,147581.0,EUR
2022-01-12,INST001,176.6432,181.4208,172.0023,176.4838,1885659.0,EUR
2022-01-13,INST001,172.1124,174.5016,168.4873,172.172,3232693.0,EUR
2022-01-14,INST001,172.9077,174.2279,170.957,172.2924,720149.0,EUR
2022-01-17,INST001,174.582,175.2051,173.4452,175.0922,1994618.0,EUR
2022-01-18,INST001,174.3699,177.3996,171.7542,174.686,3341492.0,EUR
2022-01-19,INST001,174.9676,176.5362,170.1338,173.277,1022915.0,EUR
2022-01-20,INST001,177.5646,181.4941,173.3349,177.3069,4184447.0,EUR
2022-01-21,INST001,177.3422,179.2893,173.1466,177.66,3078985.0,EUR
2022-01-24,INST001,182.3222,185.8148,176.8396,181.3548,1272721.0,EUR
2022-01-25,INST001,187.0995,189.2744,182.2303,185.8119,2090451.0,EUR
2022-01-26,INST001,190.0096,190.2374,188.9439,190.0639,3027963.0,EUR
2022-01-27,INST001,189.7753,190.5732,185.7558,190.146,308006.0,EUR
2022-01-28,INST001,192.0048,198.9819,190.6722,193.4869,2905896.0,EUR
2022-01-31,INST001,197.5069,197.5802,193.7047,195.7985,1202294.0,EUR
2022-02-01,INST001,194.5988,198.5477,193.36,195.9901,4797027.0,EUR
2022-02-02,INST001,197.404,201.8204,196.8226,198.8075,1111497.0,EUR
2022-02-03,INST001,200.666,204.6864,194.6202,200.5629,4104973.0,EUR
2022-02-04,INST001,198.2346,204.1147,193.4535,198.1726,4831985.0,EUR
2022-02-07,INST001,195.2274,198.7521,193.8885,196.184,2483318.0,EUR
2022-02-08,INST001,196.8352,198.9719,194.8397,195.4252,1204513.0,EUR
2022-02-09,INST001,196.9167,199.0348,194.4274,196.1388,807491.0,EUR
2022-02-10,INST001,200.8273,202.6675,198.0798,199.352,3744190.0,EUR
2022-02-11,INST001,198.2808,199.2089,192.5672,197.454,4236153.0,EUR
2022-02-14,INST001,199.1887,201.415,199.3609,200.5273,1393156.0,EUR
2022-02-15,INST001,197.3288,200.5391,196.5232,197.6683,2990463.0,EUR
2022-02-16,INST001,193.6925,198.8528,191.0303,194.6567,2897229.0,EUR
2022-02-17,INST001,191.6993,193.4764,189.5624,192.9894,1898207.0,EUR
2022-02-18,INST001,191.4062,191.2345,190.4512,190.8036,3871881.0,EUR
2022-02-21,INST001,194.6551,195.407,190.6281,194.4324,4346751.0,EUR
2022-02-22,INST001,196.4477,198.5938,191.4227,197.1535,363916.0,EUR
2022-02-23,INST001,195.8714,195.1978,188.886,194.3614,1537047.0,EUR
2022-02-24,INST001,196.6119,198.4543,194.256,195.5694,4118583.0,EUR
2022-02-25,INST001,197.1317,199.6568,191.5015,196.1121,1792855.0,EUR
2022-02-28,INST001,198.632,197.7327,191.793,196.7348,3430271.0,EUR
2022-03-01,INST001,197.5696,200.41,193.7294,198.8871,497339.0,EUR
2022-03-02,INST001,194.6797,200.0502,192.9804,195.1915,3694248.0,EUR
2022-03-03,INST001,194.2346,194.9794,194.156,194.6814,424454.0,EUR
2022-03-04,INST001,191.1455,196.4468,188.2165,191.6701,3727836.0,EUR
2022-03-07,INST001,193.4371,198.0938,191.5933,193.327,986416.0,EUR
2022-03-08,INST001,191.8938,196.5932,190.689,191.5764,259556.0,EUR
2022-03-09,INST001,186.8408,192.5366,187.2642,187.4675,3541095.0,EUR
2022-03-10,INST001,191.1046,194.2448,186.5816,189.2191,3833440.0,EUR
2022-03-11,INST001,184.2642,185.9238,179.9014,184.9527,806066.0,EUR
2022-03-14,INST001,183.5637,188.9729,183.3385,184.4325,2255656.0,EUR
2022-03-15,INST001,180.1326,182.6163,178.3165,181.8173,2520808.0,EUR
2022-03-16,INST001,181.5037,183.8373,181.2061,181.5981,151758.0,EUR
2022-03-17,INST001,183.7682,186.2474,178.0014,183.4995,2349820.0,EUR
2022-03-18,INST001,182.5214,185.7418,180.5662,183.7381,1281817.0,EUR
2022-03-21,INST001,182.1694,181.7429,178.3344,180.4248,3595738.0,EUR
2022-03-22,INST001,178.8999,178.2953,175.5545,177.4991,4318869.0,EUR
2022-03-23,INST001,177.1563,182.4994,177.5491,178.3402,2466326.0,EUR
2022-03-24,INST001,174.6401,175.5626,171.362,174.9093,389199.0,EUR
2022-03-25,INST001,177.649,180.556,173.2361,177.0603,4169307.0,EUR
2022-03-28,INST001,181.725,186.1095,179.1159,181.1487,3350528.0,EUR
2022-03-29,INST001,182.2319,187.8804,180.2191,183.3566,3305881.0,EUR
2022-03-30,INST001,181.7751,182.1569,179.3484,181.5765,4582042.0,EUR
2022-03-31,INST001,176.7175,182.5335,174.7733,178.1131,1812081.0,EUR
2022-04-01,INST001,181.4116,186.8234,178.3031,182.4005,2185413.0,EUR
2022-04-04,INST001,186.7417,185.7421,180.7637,185.6805,2955567.0,EUR
2022-04-05,INST001,183.7716,185.8462,177.7323,183.1568,906904.0,EUR
2022-04-06,INST001,184.1998,189.9371,184.9719,185.2534,3634840.0,EUR
2022-04-07,INST001,189.5931,191.4398,185.7854,189.7956,3653581.0,EUR
2022-04-08,INST001,194.0282,192.984,191.6925,192.4184,3330775.0,EUR
