PeriodeDate,PortefeuilleID,Rendement_pct,Benchmark_pct,Alpha_pct,Volatilite_pct,RatioSharpe,MaxDrawdown_pct,ValeurPortefeuille_EUR,FluxNets_EUR,RendementCumule_pct
2022-01-31,PF00070,8.4,5.02,3.38,8.95,0.9385,-8.85,237683.88,83381.48,68.1532
2022-01-31,PF00017,7.46,8.77,-1.31,5.83,1.2796,-12.03,1326763.6,73673.22,53.0034
2022-01-31,PF00126,-7.1,3.26,-10.36,16.73,-0.4244,-8.5,980006.39,74582.81,35.8458
2022-01-31,PF00053,-3.64,-3.01,-0.63,4.0,-0.91,-14.73,458060.04,78718.82,13.689
2022-01-31,PF00072,4.29,1.61,2.68,11.75,0.3651,-2.44,748163.97,-1832.05,-2.6732
2022-01-31,PF00135,3.77,6.15,-2.38,8.75,0.4309,-12.88,1827385.79,-45827.48,-11.9552
2022-01-31,PF00101,4.67,-3.74,8.41,8.56,0.5456,-0.93,967708.37,-36690.31,7.6212
2022-01-31,PF00009,11.75,-1.06,12.81,2.44,4.8156,-9.09,1378117.37,76853.72,44.8584
2022-01-31,PF00116,-6.8,1.55,-8.35,10.19,-0.6673,-1.7,1142166.8,45284.8,9.3815
2022-01-31,PF00023,5.83,-1.55,7.38,16.07,0.3628,-14.17,1826606.92,-31942.76,31.6063
2022-01-31,PF00117,8.39,3.24,5.15,4.31,1.9466,-8.64,1784709.92,65099.32,68.1311
2022-01-31,PF00125,8.24,-2.35,10.59,15.36,0.5365,-0.36,768651.94,-12216.01,30.6822
2022-01-31,PF00081,0.31,0.56,-0.25,14.93,0.0208,-14.53,338134.71,61178.04,38.2617
2022-01-31,PF00075,7.11,8.56,-1.45,10.32,0.689,-11.65,1185055.52,92974.4,14.6636
2022-01-31,PF00094,-0.5,-1.68,1.18,10.02,-0.0499,-14.11,1202169.55,53409.82,29.1586
2022-01-31,PF00005,1.51,3.75,-2.24,17.87,0.0845,-4.1,1535958.28,-31414.94,39.9818
2022-01-31,PF00139,-4.26,3.38,-7.64,11.06,-0.3852,-9.36,1840451.83,90468.09,29.1995
2022-01-31,PF00093,1.35,-4.32,5.67,17.2,0.0785,-3.67,864135.9,-20592.83,61.1742
2022-01-31,PF00102,-1.95,-1.24,-0.71,14.66,-0.133,-5.81,184802.28,33031.75,79.1319
2022-01-31,PF00129,3.59,-1.14,4.73,16.74,0.2145,-11.12,1990307.22,65131.95,69.5517
2022-01-31,PF00110,-2.83,-5.09,2.26,7.38,-0.3835,-5.98,340193.92,2068.43,11.4427
2022-01-31,PF00007,-4.58,8.1,-12.68,12.49,-0.3667,-3.77,1263201.75,-47231.6,17.2047
2022-01-31,PF00076,-7.29,-5.14,-2.15,19.81,-0.368,-8.14,1030682.71,83935.25,69.0347
2022-01-31,PF00100,2.55,5.34,-2.79,11.02,0.2314,-8.57,1599051.66,89258.52,57.4484
2022-01-31,PF00063,-4.04,-3.94,-0.1,10.63,-0.3801,-7.37,1236777.05,58967.31,47.6608
2022-01-31,PF00064,5.7,9.94,-4.24,3.87,1.4729,-0.88,1940511.8,95382.95,35.8538
2022-01-31,PF00120,2.76,-0.31,3.07,17.26,0.1599,-12.14,1196077.54,40847.01,30.5852
2022-01-31,PF00090,-6.04,5.28,-11.32,1.45,-4.1655,-11.85,1576932.28,67256.97,65.5857
2022-01-31,PF00140,8.69,-1.7,10.39,2.27,3.8282,-10.62,1571623.47,54246.48,-13.6806
2022-01-31,PF00074,-3.88,2.21,-6.09,16.56,-0.2343,-3.68,364984.28,41533.39,40.9523
2022-01-31,PF00131,5.58,5.56,0.02,1.77,3.1525,-8.05,538181.71,42136.27,61.0289
2022-01-31,PF00127,-5.69,6.1,-11.79,1.26,-4.5159,-6.62,824880.89,72768.59,67.5371
2022-01-31,PF00092,6.48,2.73,3.75,11.46,0.5654,-1.86,1929232.58,40443.93,-9.1699
2022-01-31,PF00008,-5.65,2.14,-7.79,6.69,-0.8445,-7.75,539674.99,32764.77,9.6339
2022-01-31,PF00012,-7.35,6.54,-13.89,2.71,-2.7122,-2.76,574100.62,86161.24,71.5588
2022-01-31,PF00104,7.37,-2.77,10.14,18.75,0.3931,-5.81,855287.93,37525.41,-13.9345
2022-01-31,PF00138,9.47,-5.37,14.84,6.96,1.3606,-14.75,862603.6,-29845.64,29.1648
2022-01-31,PF00025,11.73,2.84,8.89,12.12,0.9678,-8.85,1759004.3,-41074.03,24.4488
