TransactionID,PortefeuilleID,InstrumentID,DateTransaction,TypeTransaction,Quantite,PrixUnitaire,MontantBrut,Frais,MontantNet,Devise,TauxChange_EUR,MontantNet_EUR,Statut,Courtier,Operateur
TRX000001,PF00016,INST010,2025-03-03,Frais,281.28,338.3065,95158.85,251.53,94907.32,EUR,1.0,94907.32,Exécuté,Xetra,OPE005
TRX000002,PF00080,INST006,2023-08-02,Achat,289.38,114.242,33059.35,119.9,32939.45,USD,1.0695,35228.74,Exécuté,OTC,OPE003
TRX000003,PF00030,INST013,2023-11-16,Dividende,287.48,405.5385,116584.21,510.71,117094.92,EUR,1.0,117094.92,En attente,Xetra,OPE001
TRX000004,PF00047,INST005,2024-03-26,Arbitrage Entrant,381.44,461.5534,176054.93,423.25,176478.18,USD,1.074,189537.57,En attente,SIX,OPE001
TRX000005,PF00037,INST012,2024-07-01,Arbitrage Entrant,485.93,54.9613,26707.34,83.38,26790.72,EUR,1.0,26790.72,Annulé,SIX,OPE003
TRX000006,PF00041,INST006,2023-10-11,Dividende,361.08,390.6495,141055.72,461.3,141517.02,EUR,1.0,141517.02,Exécuté,NYSE,OPE002
TRX000007,PF00013,INST011,2024-10-06,Achat,136.78,334.35,45732.39,134.57,45597.82,EUR,1.0,45597.82,Annulé,Xetra,OPE002
TRX000008,PF00132,INST002,2024-05-24,Dividende,215.53,148.7908,32068.88,119.1,32187.98,EUR,1.0,32187.98,En attente,Xetra,OPE001
TRX000009,PF00057,INST007,2025-04-15,Frais,28.34,110.1673,3122.14,14.93,3107.21,USD,1.0528,3271.27,Exécuté,Xetra,OPE001
TRX000010,PF00002,INST008,2024-10-06,Arbitrage Entrant,215.9,73.301,15825.69,49.54,15875.23,USD,1.0001,15876.82,Exécuté,Euronext,OPE004
TRX000011,PF00011,INST007,2026-03-13,Achat,230.42,48.1527,11095.35,24.99,11070.36,EUR,1.0,11070.36,En attente,SIX,OPE004
TRX000012,PF00075,INST002,2025-11-30,Coupon,11.41,169.1364,1929.85,8.12,1937.97,EUR,1.0,1937.97,Exécuté,Euronext,OPE004
TRX000013,PF00028,INST004,2026-02-10,Coupon,294.85,266.7416,78648.76,203.15,78851.91,EUR,1.0,78851.91,Exécuté,NYSE,OPE003
TRX000014,PF00044,INST002,2025-03-19,Frais,316.98,269.9964,85583.46,151.96,85431.5,EUR,1.0,85431.5,Exécuté,NYSE,OPE002
TRX000015,PF00027,INST003,2026-03-30,Dividende,99.44,305.1755,30346.65,122.63,30469.28,EUR,1.0,30469.28,Exécuté,SIX,OPE004
TRX000016,PF00145,INST013,2023-08-25,Frais,225.0,462.8356,104138.01,339.28,103798.73,EUR,1.0,103798.73,Exécuté,NYSE,OPE004
TRX000017,PF00018,INST008,2024-06-27,Coupon,316.06,400.2015,126487.69,425.72,126913.41,EUR,1.0,126913.41,En attente,Euronext,OPE003
TRX000018,PF00119,INST008,2025-11-08,Achat,29.39,417.5313,12271.24,16.04,12255.2,EUR,1.0,12255.2,En attente,OTC,OPE005
TRX000019,PF00099,INST008,2025-06-13,Frais,277.6,397.9907,110482.22,506.4,109975.82,EUR,1.0,109975.82,En attente,NYSE,OPE003
TRX000020,PF00122,INST009,2026-02-14,Vente,478.9,230.7563,110509.19,468.99,110978.18,EUR,1.0,110978.18,Exécuté,OTC,OPE002
TRX000021,PF00011,INST004,2023-05-31,Arbitrage Entrant,219.44,225.3167,49443.5,152.83,49596.33,USD,0.9728,48247.31,Exécuté,SIX,OPE004
TRX000022,PF00087,INST011,2025-01-17,Frais,27.13,319.1344,8658.12,20.25,8637.87,EUR,1.0,8637.87,Exécuté,OTC,OPE004
TRX000023,PF00073,INST005,2026-05-07,Arbitrage Entrant,425.93,482.5609,205537.16,701.05,206238.21,USD,0.9667,199370.48,En attente,NYSE,OPE003
TRX000024,PF00080,INST011,2024-02-03,Arbitrage Entrant,331.41,73.1863,24254.67,93.02,24347.69,EUR,1.0,24347.69,Exécuté,OTC,OPE004
TRX000025,PF00085,INST014,2024-04-25,Vente,335.39,416.1899,139585.93,552.08,140138.01,EUR,1.0,140138.01,Annulé,OTC,OPE003
TRX000026,PF00005,INST006,2024-06-01,Dividende,90.95,114.9544,10455.1,50.09,10505.19,EUR,1.0,10505.19,Exécuté,NYSE,OPE002
TRX000027,PF00040,INST002,2025-01-17,Dividende,422.37,59.559,25155.93,102.72,25258.65,EUR,1.0,25258.65,Exécuté,OTC,OPE002
TRX000028,PF00097,INST003,2026-03-03,Vente,91.24,349.4944,31887.87,111.57,31999.44,USD,1.0442,33413.82,Exécuté,SIX,OPE003
TRX000029,PF00061,INST008,2024-01-29,Frais,143.18,376.7829,53947.78,150.82,53796.96,USD,0.9619,51747.3,Annulé,NYSE,OPE003
TRX000030,PF00147,INST008,2026-02-23,Coupon,384.95,391.2808,150623.54,453.62,151077.16,EUR,1.0,151077.16,Exécuté,NYSE,OPE005
TRX000031,PF00036,INST014,2025-07-13,Dividende,27.04,245.4894,6638.03,16.49,6654.52,EUR,1.0,6654.52,En attente,Euronext,OPE003
TRX000032,PF00022,INST013,2023-10-29,Vente,137.12,453.6,62197.63,98.86,62296.49,EUR,1.0,62296.49,Exécuté,NYSE,OPE004
