InstrumentID,NomInstrument,TypeInstrument,Classe Actif,Devise,Pays,ISIN,Emetteur,NiveauRisque,FraisGestion_pct,Macro Classe Actif
INST001,CAC 40 ETF,ETF,Actions,EUR,FR,FR0000000001,Lyxor,Élevé,0.2,Risque
INST002,S&P 500 ETF,ETF,Actions,USD,US,US0000000002,iShares,Élevé,0.07,Risque
INST003,OAT France 10 ans,Obligation,Taux,EUR,FR,FR0000000003,État Français,Faible,0.0,Defensif
INST004,Bund Allemagne 10 ans,Obligation,Taux,EUR,DE,DE0000000004,État Allemand,Faible,0.0,Defensif
INST005,SCPI Patrimmo,SCPI,Immobilier,EUR,FR,FR0000000005,Primonial,Modéré,1.5,Diversifie
INST006,Fonds Monétaire EUR,FCP,Monétaire,EUR,FR,FR0000000006,Amundi,Très Faible,0.1,Defensif
INST007,Or Physique ETC,ETC,Matières Premières,USD,US,US0000000007,WisdomTree,Modéré,0.35,Diversifie
INST008,Nasdaq 100 ETF,ETF,Actions,USD,US,US0000000008,Invesco,Très Élevé,0.2,Risque
INST009,Obligations HY EUR,FCP,Obligations HY,EUR,LU,LU0000000009,PIMCO,Élevé,0.75,Risque
INST010,Actions Europe Small Cap,FCP,Actions,EUR,LU,LU0000000010,Oddo BHF,Élevé,1.2,Risque
INST011,Oblig. Convertibles,FCP,Obligations Convertibles,EUR,FR,FR0000000011,La Française,Modéré,0.9,Diversifie
INST012,Fonds Private Equity,FCPR,Private Equity,EUR,FR,FR0000000012,Eurazeo,Très Élevé,2.0,Risque
INST013,REIT US ETF,ETF,Immobilier,USD,US,US0000000013,Vanguard,Modéré,0.12,Diversifie
INST014,Emerging Markets ETF,ETF,Actions,USD,IE,IE0000000014,iShares,Très Élevé,0.18,Risque
INST015,Livret Épargne,Dépôt,Épargne,EUR,FR,FR0000000015,Banque,Très Faible,0.0,Defensif
