SnapshotDate,PortefeuilleID,InstrumentID,Quantite,PrixRevientUnitaire,PrixMarcheUnitaire,ValeurAchat_EUR,ValeurMarche_EUR,PnL_EUR,PnL_pct,PoidsPortefeuille_pct,Devise
2022-01-31,PF00054,INST008,88.02,179.1369,200.0082,15767.63,17604.72,1837.09,11.65,8.15,EUR
2022-01-31,PF00054,INST014,53.05,141.8381,191.4769,7524.51,10157.85,2633.34,35.0,4.7,EUR
2022-01-31,PF00054,INST002,852.33,108.1006,141.6482,92137.38,120731.01,28593.63,31.03,55.91,EUR
2022-01-31,PF00054,INST003,883.74,54.1903,43.089,47890.14,38079.47,-9810.67,-20.49,17.63,EUR
2022-01-31,PF00054,INST006,408.52,65.2056,71.8874,26637.79,29367.44,2729.65,10.25,13.6,EUR
2022-01-31,PF00146,INST014,225.33,94.4814,103.2382,21289.49,23262.66,1973.17,9.27,31.23,EUR
2022-01-31,PF00146,INST003,300.97,146.3938,170.2085,44060.14,51227.65,7167.51,16.27,68.77,EUR
2022-01-31,PF00127,INST010,387.8,117.7953,94.6937,45681.02,36722.22,-8958.8,-19.61,57.86,EUR
2022-01-31,PF00127,INST009,149.13,186.8178,179.3308,27860.14,26743.6,-1116.54,-4.01,42.14,EUR
2022-01-31,PF00103,INST013,24.67,106.0247,146.8551,2615.63,3622.92,1007.29,38.51,0.98,EUR
2022-01-31,PF00103,INST015,697.14,102.2113,112.3148,71255.59,78299.14,7043.55,9.88,21.07,EUR
2022-01-31,PF00103,INST005,838.03,116.9875,93.1013,98039.03,78021.68,-20017.35,-20.42,21.0,EUR
2022-01-31,PF00103,INST014,869.62,132.1469,105.7078,114917.59,91925.62,-22991.97,-20.01,24.74,EUR
2022-01-31,PF00103,INST012,373.32,129.2273,103.1089,48243.14,38492.61,-9750.53,-20.21,10.36,EUR
2022-01-31,PF00103,INST003,837.22,88.4569,96.9893,74057.89,81201.38,7143.49,9.65,21.85,EUR
2022-01-31,PF00118,INST007,634.99,334.2607,450.6023,212252.2,286127.95,73875.75,34.81,57.36,EUR
2022-01-31,PF00118,INST011,790.11,261.499,238.3691,206612.97,188337.81,-18275.16,-8.85,37.76,EUR
2022-01-31,PF00118,INST015,578.02,52.2404,42.0757,30196.0,24320.6,-5875.4,-19.46,4.88,EUR
2022-01-31,PF00061,INST008,874.62,248.7513,306.9174,217562.86,268436.1,50873.24,23.38,27.02,EUR
2022-01-31,PF00061,INST013,832.51,335.1039,426.5049,278977.35,355069.59,76092.24,27.28,35.74,EUR
2022-01-31,PF00061,INST014,619.48,306.7732,398.9737,190039.86,247156.23,57116.37,30.05,24.88,EUR
2022-01-31,PF00061,INST002,384.58,280.2221,319.3161,107767.82,122802.59,15034.77,13.95,12.36,EUR
2022-01-31,PF00134,INST012,556.69,321.9719,302.0589,179238.54,168153.17,-11085.37,-6.18,47.16,EUR
2022-01-31,PF00134,INST008,969.13,127.1556,101.8542,123230.31,98709.96,-24520.35,-19.9,27.69,EUR
2022-01-31,PF00134,INST007,102.3,314.4665,341.2542,32169.92,34910.3,2740.38,8.52,9.79,EUR
2022-01-31,PF00134,INST009,119.76,350.2529,457.3189,41946.29,54768.51,12822.22,30.57,15.36,EUR
2022-01-31,PF00131,INST005,949.29,169.6321,136.6981,161030.06,129766.14,-31263.92,-19.41,60.09,EUR
