TransactionID,PortefeuilleID,InstrumentID,DateTransaction,TypeTransaction,Quantite,PrixUnitaire,MontantBrut,Frais,MontantNet,Devise,TauxChange_EUR,MontantNet_EUR,Statut,Courtier,Operateur
TRX000001,PF00016,INST010,2025-03-03,Frais,281.28,338.3065,95158.85,251.53,94907.32,EUR,1.0,94907.32,Exécuté,Xetra,OPE005
TRX000002,PF00080,INST006,2023-08-02,Achat,289.38,114.242,33059.35,119.9,32939.45,USD,1.0695,35228.74,Exécuté,OTC,OPE003
TRX000006,PF00041,INST006,2023-10-11,Dividende,361.08,390.6495,141055.72,461.3,141517.02,EUR,1.0,141517.02,Exécuté,NYSE,OPE002
TRX000009,PF00057,INST007,2025-04-15,Frais,28.34,110.1673,3122.14,14.93,3107.21,USD,1.0528,3271.27,Exécuté,Xetra,OPE001
TRX000010,PF00002,INST008,2024-10-06,Arbitrage Entrant,215.9,73.301,15825.69,49.54,15875.23,USD,1.0001,15876.82,Exécuté,Euronext,OPE004
TRX000012,PF00075,INST002,2025-11-30,Coupon,11.41,169.1364,1929.85,8.12,1937.97,EUR,1.0,1937.97,Exécuté,Euronext,OPE004
TRX000013,PF00028,INST004,2026-02-10,Coupon,294.85,266.7416,78648.76,203.15,78851.91,EUR,1.0,78851.91,Exécuté,NYSE,OPE003
TRX000014,PF00044,INST002,2025-03-19,Frais,316.98,269.9964,85583.46,151.96,85431.5,EUR,1.0,85431.5,Exécuté,NYSE,OPE002
TRX000015,PF00027,INST003,2026-03-30,Dividende,99.44,305.1755,30346.65,122.63,30469.28,EUR,1.0,30469.28,Exécuté,SIX,OPE004
TRX000016,PF00145,INST013,2023-08-25,Frais,225.0,462.8356,104138.01,339.28,103798.73,EUR,1.0,103798.73,Exécuté,NYSE,OPE004
TRX000020,PF00122,INST009,2026-02-14,Vente,478.9,230.7563,110509.19,468.99,110978.18,EUR,1.0,110978.18,Exécuté,OTC,OPE002
TRX000021,PF00011,INST004,2023-05-31,Arbitrage Entrant,219.44,225.3167,49443.5,152.83,49596.33,USD,0.9728,48247.31,Exécuté,SIX,OPE004
TRX000022,PF00087,INST011,2025-01-17,Frais,27.13,319.1344,8658.12,20.25,8637.87,EUR,1.0,8637.87,Exécuté,OTC,OPE004
TRX000024,PF00080,INST011,2024-02-03,Arbitrage Entrant,331.41,73.1863,24254.67,93.02,24347.69,EUR,1.0,24347.69,Exécuté,OTC,OPE004
TRX000026,PF00005,INST006,2024-06-01,Dividende,90.95,114.9544,10455.1,50.09,10505.19,EUR,1.0,10505.19,Exécuté,NYSE,OPE002
TRX000027,PF00040,INST002,2025-01-17,Dividende,422.37,59.559,25155.93,102.72,25258.65,EUR,1.0,25258.65,Exécuté,OTC,OPE002
TRX000028,PF00097,INST003,2026-03-03,Vente,91.24,349.4944,31887.87,111.57,31999.44,USD,1.0442,33413.82,Exécuté,SIX,OPE003
TRX000030,PF00147,INST008,2026-02-23,Coupon,384.95,391.2808,150623.54,453.62,151077.16,EUR,1.0,151077.16,Exécuté,NYSE,OPE005
TRX000032,PF00022,INST013,2023-10-29,Vente,137.12,453.6,62197.63,98.86,62296.49,EUR,1.0,62296.49,Exécuté,NYSE,OPE004
TRX000033,PF00090,INST015,2024-05-28,Achat,208.03,204.2624,42492.71,106.06,42386.65,EUR,1.0,42386.65,Exécuté,Xetra,OPE002
TRX000036,PF00029,INST013,2024-10-25,Dividende,119.58,69.7057,8335.41,16.29,8351.7,EUR,1.0,8351.7,Exécuté,Euronext,OPE004
TRX000037,PF00138,INST001,2025-05-31,Arbitrage Entrant,258.17,128.5497,33187.68,52.25,33239.93,EUR,1.0,33239.93,Exécuté,OTC,OPE003
TRX000038,PF00062,INST010,2024-08-17,Coupon,94.47,337.4253,31876.57,98.62,31975.19,EUR,1.0,31975.19,Exécuté,OTC,OPE005
TRX000039,PF00130,INST013,2024-11-05,Frais,277.52,201.3223,55870.96,160.94,55710.02,EUR,1.0,55710.02,Exécuté,Xetra,OPE001
TRX000040,PF00092,INST013,2025-08-22,Achat,173.06,369.1411,63883.56,224.42,63659.14,EUR,1.0,63659.14,Exécuté,Euronext,OPE003
TRX000041,PF00140,INST006,2024-10-25,Arbitrage Sortant,321.76,416.888,134137.88,501.51,134639.39,EUR,1.0,134639.39,Exécuté,NYSE,OPE001
TRX000042,PF00118,INST001,2023-08-18,Dividende,101.59,397.6435,40396.6,183.53,40580.13,EUR,1.0,40580.13,Exécuté,OTC,OPE004
TRX000043,PF00140,INST008,2024-02-21,Dividende,19.27,326.9812,6300.93,13.51,6314.44,EUR,1.0,6314.44,Exécuté,Xetra,OPE001
TRX000045,PF00069,INST013,2025-09-19,Achat,363.81,48.6742,17708.16,60.38,17647.78,USD,1.0091,17808.37,Exécuté,Euronext,OPE001
TRX000046,PF00084,INST011,2026-04-02,Dividende,153.94,305.2846,46995.51,127.1,47122.61,EUR,1.0,47122.61,Exécuté,SIX,OPE001
TRX000048,PF00041,INST001,2025-08-22,Vente,424.49,342.2635,145287.43,399.93,145687.36,USD,0.9134,133070.83,Exécuté,Xetra,OPE004
TRX000049,PF00146,INST001,2023-12-25,Frais,77.57,230.4621,17876.95,44.4,17832.55,EUR,1.0,17832.55,Exécuté,OTC,OPE002
