ClientID,Total Investi Client (EUR),Total Dividendes Client (EUR),Nb Portefeuilles
CLI0090,287612.92,524043.02,3
CLI0019,151358.71,140721.59,1
CLI0097,587064.63,905830.42,5
CLI0014,140278.93,441225.6,1
CLI0029,140110.69,619468.6799999999,3
CLI0016,198360.43,269261.63,1
CLI0041,120158.83,459461.99,2
CLI0034,120321.48999999999,416488.45,2
CLI0043,131929.67,351758.11000000004,2
CLI0009,35608.04,54146.270000000004,1
CLI0053,48291.08,345017.43,1
CLI0049,478108.9700000001,889444.56,3
CLI0078,217328.24,425648.57999999996,1
CLI0083,88921.24,225174.93000000002,1
CLI0074,138237.0,561152.0499999999,2
CLI0032,749009.79,855352.22,3
CLI0001,302076.41000000003,866585.87,2
CLI0100,286554.44,333858.57,2
CLI0055,13406.49,679823.51,3
CLI0057,22652.4,299933.09,2
CLI0010,300003.53,123932.49,1
CLI0028,140385.51,787433.04,2
CLI0008,54648.62,241270.87,1
CLI0044,199108.66,323172.63,2
CLI0022,153079.08,49666.9,1
CLI0025,108110.81,60916.43,1
CLI0099,495958.2,1483567.8599999999,3
CLI0058,497971.06,291807.87,2
CLI0021,10673.49,89885.95,1
CLI0031,306838.34,547922.96,2
CLI0020,206906.07,248639.0,2
CLI0054,383440.58,1135645.32,5
CLI0062,-,149516.72,1
CLI0004,83966.20999999999,610243.0800000001,3
CLI0017,205428.93,16954.29,1
CLI0024,31370.38,297839.96,1
CLI0084,68680.35,32789.31,1
CLI0023,303056.44,3069.96,1
CLI0018,273000.94,580121.61,3
CLI0079,16424.88,376936.03,1
CLI0071,165310.83000000002,213525.94999999998,1
CLI0082,130279.52,209295.94,1
CLI0036,329476.31,782849.4,3
CLI0030,-,57317.47,1
CLI0098,313790.45,61809.340000000004,2
CLI0073,67692.85,-,1
CLI0050,552366.23,1997107.4500000002,5
CLI0067,77561.3,287465.2,2
CLI0060,338450.86999999994,661634.6699999999,5
CLI0086,58401.09,422293.6,2
CLI0035,61105.369999999995,185351.58000000002,2
CLI0091,39771.77,296227.83999999997,1
CLI0027,189565.78999999998,464344.31,1
CLI0003,82298.31999999999,243939.06,1
CLI0069,64751.22,514055.21,2
CLI0056,5967.73,114726.86,1
CLI0087,6845.93,128130.04999999999,1
CLI0051,-,222434.63999999998,1
CLI0092,51126.1,196804.0,2
CLI0077,233171.84,267300.77999999997,1
CLI0065,-,163249.06,1
CLI0081,140683.75,208662.57,1
CLI0037,252371.08000000002,50465.159999999996,1
CLI0011,69932.32,82277.97,2
CLI0075,287268.05000000005,341100.64,1
CLI0095,214487.65,112712.48000000001,1
CLI0033,35912.78,-,1
CLI0064,18213.56,206636.11,1
CLI0052,294541.75,262674.54,2
CLI0007,172423.99,169556.00000000003,2
CLI0059,47738.32,639206.5700000001,2
CLI0068,-,233095.34000000003,1
CLI0093,392968.27999999997,288389.08999999997,2
CLI0096,5832.3,470988.56,2
CLI0063,517664.49,578402.62,3
CLI0070,469896.23000000004,692266.16,3
CLI0076,160205.02,23820.89,1
CLI0085,87379.43,338986.41000000003,1
CLI0089,347293.99,584240.5800000001,2
CLI0072,258252.43,643642.5700000001,2
CLI0061,-,449776.79,1
CLI0046,265858.39999999997,244399.51999999996,1
CLI0039,31110.24,128785.6,1
CLI0080,28821.73,79390.25,1
CLI0042,259464.5,135428.94,2
